# Data columns: X Min 1stQuartile Median 3rdQuartile Max BoxWidth
0.000	0.000	0.600	1.800	3.150	3.800	
0.100	0.010	1.410	1.910	3.035	4.410	
0.200	0.039	0.689	2.039	2.989	3.739	
0.300	0.086	1.086	1.536	2.786	3.586	 
0.400	0.147	0.322	0.347	0.672	1.447	
0.500	0.219	0.219	1.469	2.419	3.519	 
0.600	0.297	1.072	1.997	2.947	4.097	 
0.700	0.375	1.250	2.275	3.125	4.275	 
0.800	0.446	1.671	2.546	3.771	4.246	 
0.900	0.504	0.929	2.304	2.954	3.704	 
1.000	0.540	1.290	2.240	3.265	4.440	 
1.100	0.549	1.349	2.549	3.474	3.849	 
1.200	0.522	1.672	2.072	2.572	4.022	 
1.300	0.452	1.502	2.252	3.352	4.152	 
1.400	0.333	1.733	3.133	4.158	5.533	 
1.500	0.159	1.234	2.609	3.059	3.559	 
1.600	0.075	1.425	1.775	2.950	3.675	 
1.700	0.372	1.197	2.872	3.672	4.372	 
1.800	0.736	2.136	2.486	3.386	4.336	 
1.900	1.167	1.892	2.467	3.092	4.367	 
2.000	1.665	2.290	3.015	4.015	4.765	 
2.100	2.226	3.801	4.726	5.376	5.726	 
2.200	2.848	4.398	5.848	6.973	7.648	 
2.300	3.525	4.150	4.975	5.750	6.325	 
2.400	4.247	4.772	5.497	6.797	7.247	
2.500	5.007	5.732	6.757	8.082	9.107	 
