be221631-f444-4e36-a260-1043d9c8c75e,Гастроэзофагеальный рефлюкс,Отек (водянка) Потеря памяти (амнезия),ВИЧ-инфицированные,57.69,True,70.59
e4791cad-e629-4281-a517-74a3594f42e1,Кровянистые выделения,Педиатрический Гинекология и акушерство,Курящие,13.82,False,36.89
a0949a2e-67c6-4e1f-aaa3-b2cfb7526268,Розовый лишай,Слезотечение Волосатость (гирсутизм),Пожилые,56.42,True,63.02
2ca04a9c-9e0f-49da-a960-2874758dc290,*Венерические заболевания,Кровохарканье Обморок (Синкопе),Беременные,58.71,False,21.91
9e2589b1-a967-4573-bc8d-96cee420009e,Нарушение обмена веществ,Боль в горле Головокружение или предобморочное состояние при вставании (ортостатическая гипотензия),Дети,40.25,True,53.86
9470e24f-2a47-482f-9b9b-62c2a9ced250,Синдром Жильбера,Стойкая патологическая эрекция (приапизм) Несварение желудка (диспепсия),Алкоголики,76.46,True,38.24
050090bd-851d-406a-8a4c-6fbedafd1127,Полип эндометрия в матке,Опухоль на шее Тошнота и рвота на ранних сроках беременности,ВИЧ-инфицированные,23.28,False,22.8
f7b7d367-f56d-48a5-848f-1c8504c3c252,Многоводие при беременности,Желудочно-кишечное КровотечениеЖелудочно-кишечное Стридор,Курящие,26.03,True,82.7
697b02d3-fbc1-4c0a-bca6-ec774c85a23b,Аменорея,Тугоухость Покраснение глаза,Нарушение гормонального баланса,65.57,False,71.05
8c9ba59d-556e-4849-913b-2f18f3b6213a,Политравма,головная боль; Икота,Диабетики,43.82,True,45.45
16f24751-2324-4b97-ab16-12587509654b,Поясничный спондилез,Головную боль Тошнота и рвота у младенцев и детей,Дети,35.95,True,96.87
a8d7da14-00bf-4653-8c12-23c1bc7ef587,Мочекаменная болезнь,Желудочно-кишечное Потеря обоняния (аносмия),Крупный плод,67.92,True,84.46
e1babb0d-a83c-4ff8-8c27-a8acdc7a6e5d,Вирусный гепатит,Сильный жар у взрослых людей Тошнота и рвота на ранних сроках беременности,Наркоманы,3.01,False,74.33
c95b1712-a72a-4403-88ac-e036d71e026e,Повреждение связок коленного сустава,Потеря слуха (тугоухость): Внезапная глухота Генерализованная слабость,Диабетики,77.7,False,25.01
